date,time_from,time_to,production
2014-01-01,00:00,00:15,20706
2014-01-01,00:15,00:30,20567
2014-01-01,00:30,00:45,20451
2014-01-01,00:45,01:00,20365
2014-01-01,01:00,01:15,20281
2014-01-01,01:15,01:30,20194
2014-01-01,01:30,01:45,20082
2014-01-01,01:45,02:00,19984
2014-01-01,02:00,02:15,19736
2014-01-01,02:15,02:30,19657
2014-01-01,02:30,02:45,19589
2014-01-01,02:45,03:00,19549
2014-01-01,03:00,03:15,19087
2014-01-01,03:15,03:30,19130
2014-01-01,03:30,03:45,19117
2014-01-01,03:45,04:00,19210
2014-01-01,04:00,04:15,18419
2014-01-01,04:15,04:30,18408
2014-01-01,04:30,04:45,18360
2014-01-01,04:45,05:00,18273
2014-01-01,05:00,05:15,17720
2014-01-01,05:15,05:30,17563
2014-01-01,05:30,05:45,17366
2014-01-01,05:45,06:00,17109
2014-01-01,06:00,06:15,17045
2014-01-01,06:15,06:30,16867
2014-01-01,06:30,06:45,16787
2014-01-01,06:45,07:00,16703
2014-01-01,07:00,07:15,16870
2014-01-01,07:15,07:30,16860
2014-01-01,07:30,07:45,16936
2014-01-01,07:45,08:00,17101
2014-01-01,08:00,08:15,16900
2014-01-01,08:15,08:30,16939
2014-01-01,08:30,08:45,17069
2014-01-01,08:45,09:00,17296
2014-01-01,09:00,09:15,18702
2014-01-01,09:15,09:30,18998
2014-01-01,09:30,09:45,19353
2014-01-01,09:45,10:00,19719
2014-01-01,10:00,10:15,20518
2014-01-01,10:15,10:30,20803
2014-01-01,10:30,10:45,21078
2014-01-01,10:45,11:00,21332
2014-01-01,11:00,11:15,22029
2014-01-01,11:15,11:30,22261
2014-01-01,11:30,11:45,22429
2014-01-01,11:45,12:00,22543
2014-01-01,12:00,12:15,22472
2014-01-01,12:15,12:30,22524
2014-01-01,12:30,12:45,22582
2014-01-01,12:45,13:00,22560
2014-01-01,13:00,13:15,22287
2014-01-01,13:15,13:30,22229
2014-01-01,13:30,13:45,22140
2014-01-01,13:45,14:00,21943
2014-01-01,14:00,14:15,21567
2014-01-01,14:15,14:30,21385
2014-01-01,14:30,14:45,21267
2014-01-01,14:45,15:00,21202
2014-01-01,15:00,15:15,21169
2014-01-01,15:15,15:30,20948
2014-01-01,15:30,15:45,20761
2014-01-01,15:45,16:00,20635
2014-01-01,16:00,16:15,19998
2014-01-01,16:15,16:30,20175
2014-01-01,16:30,16:45,20427
2014-01-01,16:45,17:00,20735
2014-01-01,17:00,17:15,20729
2014-01-01,17:15,17:30,20889
