date,time_from,time_to,feedin
2013-12-01,00:00,00:15,20026
2013-12-01,00:15,00:30,20149
2013-12-01,00:30,00:45,20077
2013-12-01,00:45,01:00,19879
2013-12-01,01:00,01:15,20133
2013-12-01,01:15,01:30,19869
2013-12-01,01:30,01:45,19720
2013-12-01,01:45,02:00,19675
2013-12-01,02:00,02:15,19611
2013-12-01,02:15,02:30,19516
2013-12-01,02:30,02:45,19375
2013-12-01,02:45,03:00,19378
2013-12-01,03:00,03:15,19526
2013-12-01,03:15,03:30,19497
2013-12-01,03:30,03:45,19557
2013-12-01,03:45,04:00,19548
2013-12-01,04:00,04:15,19303
2013-12-01,04:15,04:30,19324
2013-12-01,04:30,04:45,19256
2013-12-01,04:45,05:00,19297
2013-12-01,05:00,05:15,19111
2013-12-01,05:15,05:30,19174
2013-12-01,05:30,05:45,19262
2013-12-01,05:45,06:00,19429
2013-12-01,06:00,06:15,19404
2013-12-01,06:15,06:30,19434
2013-12-01,06:30,06:45,19357
2013-12-01,06:45,07:00,19559
2013-12-01,07:00,07:15,19330
2013-12-01,07:15,07:30,19312
2013-12-01,07:30,07:45,19498
2013-12-01,07:45,08:00,19587
2013-12-01,08:00,08:15,19607
2013-12-01,08:15,08:30,19677
2013-12-01,08:30,08:45,19845
2013-12-01,08:45,09:00,19963
2013-12-01,09:00,09:15,20105
2013-12-01,09:15,09:30,20242
2013-12-01,09:30,09:45,20371
2013-12-01,09:45,10:00,20600
2013-12-01,10:00,10:15,20838
2013-12-01,10:15,10:30,21052
2013-12-01,10:30,10:45,21140
2013-12-01,10:45,11:00,21104
2013-12-01,11:00,11:15,20914
2013-12-01,11:15,11:30,20861
2013-12-01,11:30,11:45,20948
2013-12-01,11:45,12:00,20979
2013-12-01,12:00,12:15,21340
2013-12-01,12:15,12:30,21411
2013-12-01,12:30,12:45,21522
2013-12-01,12:45,13:00,21455
2013-12-01,13:00,13:15,21256
2013-12-01,13:15,13:30,21047
2013-12-01,13:30,13:45,20951
2013-12-01,13:45,14:00,20766
2013-12-01,14:00,14:15,20693
2013-12-01,14:15,14:30,20753
2013-12-01,14:30,14:45,20488
2013-12-01,14:45,15:00,20525
2013-12-01,15:00,15:15,20685
2013-12-01,15:15,15:30,20597
2013-12-01,15:30,15:45,20702
2013-12-01,15:45,16:00,20842
2013-12-01,16:00,16:15,21126
2013-12-01,16:15,16:30,21146
2013-12-01,16:30,16:45,21310
2013-12-01,16:45,17:00,21699
2013-12-01,17:00,17:15,22397
2013-12-01,17:15,17:30,22571
2013-12-01,17:30,17:45,22683
2013-12-01,17:45,18:00,22667
2013-12-01,18:00,18:15,22687
2013-12-01,18:15,18:30,22867
2013-12-01,18:30,18:45,22925
2013-12-01,18:45,19:00,22874
2013-12-01,19:00,19:15,22800
2013-12-01,19:15,19:30,22779
2013-12-01,19:30,19:45,22787
2013-12-01,19:45,20:00,22768
2013-12-01,20:00,20:15,22578
2013-12-01,20:15,20:30,22412
2013-12-01,20:30,20:45,22392
2013-12-01,20:45,21:00,22236
2013-12-01,21:00,21:15,22457
2013-12-01,21:15,21:30,22258
2013-12-01,21:30,21:45,22311
2013-12-01,21:45,22:00,22177
2013-12-01,22:00,22:15,21913
2013-12-01,22:15,22:30,21860
2013-12-01,22:30,22:45,21883
2013-12-01,22:45,23:00,21557
2013-12-01,23:00,23:15,21277
2013-12-01,23:15,23:30,20847
2013-12-01,23:30,23:45,20776
2013-12-01,23:45,00:00,20642
2013-12-02,00:00,00:15,20627
2013-12-02,00:15,00:30,20520
2013-12-02,00:30,00:45,20510
2013-12-02,00:45,01:00,20545
2013-12-02,01:00,01:15,20266
2013-12-02,01:15,01:30,19997
2013-12-02,01:30,01:45,20085
2013-12-02,01:45,02:00,20159
2013-12-02,02:00,02:15,20276
2013-12-02,02:15,02:30,20219
2013-12-02,02:30,02:45,20196
2013-12-02,02:45,03:00,20156
2013-12-02,03:00,03:15,20269
2013-12-02,03:15,03:30,20403
2013-12-02,03:30,03:45,20736
2013-12-02,03:45,04:00,20620
2013-12-02,04:00,04:15,20665
2013-12-02,04:15,04:30,20693
2013-12-02,04:30,04:45,20920
2013-12-02,04:45,05:00,21245
2013-12-02,05:00,05:15,21383
2013-12-02,05:15,05:30,21908
2013-12-02,05:30,05:45,22347
2013-12-02,05:45,06:00,23265
