timestamp,hum_count,hum_min,hum_max,hum_mean,press_count,press_min,press_max,press_mean,temp_count,temp_min,temp_max,temp_mean,windspeed_count,windspeed_min,windspeed_max,windspeed_mean,winddir
1388530800,2,71,76,73.5,2,1001,1001,1001,2,282.15,283.15,282.65,2,6.7,7.7,7.2,150
1388534400,2,65,65,65,2,1010,1010,1010,2,278.15,278.15,278.15,2,3.1,4.6,3.85,150
1388538000,2,75,86,80.5,2,1011,1011,1011,2,277.15,278.15,277.65,2,3.1,3.6,3.35,150
1388541600,2,86,86,86,2,1011,1011,1011,2,277.15,277.15,277.15,2,2.6,3.6,3.1,135
1388545200,2,86,86,86,2,1011,1011,1011,2,277.15,277.15,277.15,2,3.6,4.6,4.1,135
1388548800,2,80,86,83,2,1011,1011,1011,2,278.15,278.15,278.15,2,3.1,4.6,3.85,135
1388552400,2,86,86,86,2,1011,1011,1011,2,278.15,278.15,278.15,2,4.1,4.6,4.35,145
1388556000,2,86,86,86,2,1011,1011,1011,2,278.15,278.15,278.15,2,4.1,4.1,4.1,140
1388559600,2,86,93,89.5,2,1011,1011,1011,2,277.15,277.15,277.15,2,4.1,4.6,4.35,140
1388563200,2,86,93,89.5,2,1011,1011,1011,2,277.15,278.15,277.65,2,4.1,4.6,4.35,140
1388566800,2,75,81,78,2,1011,1011,1011,2,279.15,280.15,279.65,2,4.1,4.6,4.35,140
1388570400,2,75,75,75,2,1011,1011,1011,2,280.15,281.15,280.65,2,4.1,4.1,4.1,145
1388574000,2,66,66,66,2,1010,1010,1010,2,282.15,282.15,282.15,2,5.1,5.1,5.1,160
1388577600,2,57,66,61.5,2,1009,1009,1009,2,282.15,283.15,282.65,2,5.7,6.7,6.2,175
1388581200,2,65,65,65,2,1008,1009,1008.5,2,281.15,281.15,281.15,2,4.6,5.1,4.85,155
1388584800,2,75,75,75,2,1008,1008,1008,2,280.15,280.15,280.15,2,4.6,5.1,4.85,135
1388588400,2,75,75,75,2,1007,1007,1007,2,280.15,280.15,280.15,2,4.6,4.6,4.6,130
1388592000,2,70,75,72.5,2,1006,1007,1006.5,2,281.15,281.15,281.15,2,5.7,6.7,6.2,140
1388595600,2,75,75,75,2,1006,1006,1006,2,281.15,281.15,281.15,2,8.2,8.2,8.2,150
